tweet,sentiment,lang
So it's Run Modi Run To Pakistan,pos,id
 Vote For Bjp,neg,de
  AGAIN BJP,neg,tl
 I am fan of pm sri modi g,neg,cy
 BJP Troll Gang !,neg,tl
  Ha jaise ki wo bjp ke name pe register hai ?,neg,et
ELECTION BREAKING !!!!!!!!!!! SONAKSHI SINGHA HAS JOINED BJP .,neg,de
    bjp m 90 % hay,neg,vi
 Bjp bjp,neg,sl
   Bjp bjp,neg,sl
Pls note  ,neg,ca
  Bjp bjp,neg,sl
  Bjp bjp,neg,sl
He's more like Modi puppet.,neg,no
We want Modi again and again,neg,id
Pak Support ModiThat's why amit shah said Pakistan mai patake phute gaye ,pos,id
 Again bjp ,neg,id
Vote for BJP,neg,da
Vote for BJP.,neg,da
  Modi ji is good script reader,pos,hr
No modi again for 2019,neg,cy
 BJP ka hi to subchannel hai &TV.#BoycottBJPBeatHatred(Wo BJP ki jagah ZEE TV hai Galti se likh diya),neg,id
  bravooooooo.modi ji ka bst frnd wonmodi ji will also win,neg,so
 Modi ji once again,neg,hr
 My vote for modi ji,neg,cs
" madam, breaking news, Pakistan PM has joined modi as star campaigner",neg,id
 Only Modi,neg,cy
SupriyaShrinate BJP4India Par kuch bhi bolo bjp ka manifesto Congress see bahut aacha hai,neg,id
 Again bjp,neg,id
 Don't let him inside BJP,pos,da
So Pakistan wants Modi as PM?,neg,id
 Life time modi sarkar jai hind,neg,sq
 No matter sir coz all time modi sarkar,neg,it
  Ok Mam ..i will vote Modi,neg,af
 Preplane hai bjp ka,neg,id
" Aap seedhe seedhe bolo BJP ko vote do,bas ekdum stright forward",neg,af
 Madame hum bjp ko support krte hai Ye ek tarfa.....But we also loves you.Who's urmila matankar mariyan meer ?,pos,id
" This is Imran Khan telling Modi: ""Main bhi Chowkidar"" ",neg,id
 Don't talk like modi's it cell member.,pos,sv
" Understood ,We will vote for Modi ji",neg,af
 2:1 For BJP,neg,no
" BJP and arnab cowswami be like : ""hum ab bole to bole kya,  kare to kare kya"" Wahhh imran ji wahhh wahhh wahhh After 10ahhhh",neg,so
 I love you My dear Narendra Modi ji,neg,es
  23may BJP gai ,neg,tl
 Congress/RaGa..Thug bandhan...Modi purchased Imran Khan.  #bikgiihaigormiNtt,neg,id
  I also support Modi ji,neg,it
#My first vote for modi,pos,da
Netenyahu again in Israel hope modi also returns in india [?],neg,id
Big setback for Modi Government,neg,da
Israel #Modi :),neg,cy
#My First Vote For Modi,neg,de
"  Yes, vote for Modi ...",neg,da
 Someone shoUld Ask swara that anti bjp propoganda ke liye kitne paise khaye hai?,neg,id
 Jai Bjp sir,neg,id
 Again nd Again only Modi ji,neg,cy
          Only modi,neg,cy
  Modi rocks all over India..!!! ,neg,it
 'Dulla saheb. Are you calling Imran Khan a BJP mole in Pakistan !,neg,id
 Terrorist killed RSS karya karta. Naxalites killed BJP MLA and u r silent..,pos,sv
"#GoBackModi Not Again Modi, Never Again",neg,id
"Are malik, BJP aane to do... Uske pehle hi mahol bana rahe ho",neg,so
Me : Modi and Shah going in Tihar ShefAli : ,neg,id
Big breaking news.Rafale deal gotala. Bhir BJP jatka.,neg,id
"Bhago......,, Pl save BJP...",neg,hr
Please support Narendra modi,neg,it
 ha may vi chawkidar hu Only BJP,neg,so
 Swara has so hatred to modi that she is saying kanhaiya is patriot. Big rubbish is that.,pos,tl
" Just like being ProBJP or ProModi is not being Ultranationalist, HinduTerrorist, Bhakt, AntiMuslim.",neg,de
 Modi will win,neg,cy
Huge setback for Modi Govt in #RafaleDeal,neg,da
 It's all because if our supreme leader Modi.Modi Modi Modi *chutiyas*,pos,it
  Why not on modi ?,neg,cy
 Only modi ji..,neg,cs
Modi Will Go To Jail! #Rafale,neg,it
 Bolt from blue for BJP,neg,no
Ish bar 2019 me bjp ki sheet 400+,neg,sq
 BJP & RSS,neg,de
 stop behaving like bjp,neg,da
 Modi?? Do you address  your father as Singh???,neg,cy
   Mayank BJP Gupta,neg,id
 my best PM Modi ji,pos,cs
 Yes my vote only modi g,neg,cy
"  We want like kanyaiya,,, we do not like kaaNgres or bjp, that we all seen ghotalas and dictatorship",neg,af
   Modi ji will come definitely,neg,it
Very sad.. #Modi must resign..,pos,da
" Bjp bhakts 2019 ...Brain updated..New Slogan: ""Pakistan Zindabad""",pos,id
  But real question is Will Modi come???,pos,it
So Pakistan wants Modi as PM,neg,id
 Definitely ll vote for modi ...,neg,no
  You r muslim journalist. Plz dont report. We know you muslims r anti modi,neg,fr
 Chowkidar Himkishore Yes ji we Support Mr.Modi ji BJP,neg,sw
   Rafel scam bjp and modiji in big COMA,neg,hr
#GoBackFascistModi Modi Go back,neg,it
Jinke bal nahi na bachche bad rahe hai bo dish kya badyega i love Bjp  nice Thankyou sir,neg,so
 BJP wale up me dar Gaye h,neg,so
bjp doomed,neg,nl
  Modi once again.,neg,it
Big Jolt For Modi SC accept #Rafale plea,neg,ro
 This is fr sure...Dnt wrryFr ek baar modi sarkar,pos,af
 Vote for BJP,neg,da
  Y can't u join BJP officially...ii baalbdduktn yaake?,neg,so
  I love modi ,pos,sl
" Bjp Bhakts Brain ......Updated..""Pakistan Zindabad""",neg,id
  Ralel scam bjp and modi in COMA,neg,it
 GO Back Modi,neg,hr
 Modi failed,neg,cy
   Idiot i am not a bjp supporter,neg,it
 #modi again #ekbarphirmodisarkar,neg,id
Bad day for modishah,neg,so
 I am first time voter like your bjp,neg,no
Ram vs. BJP #RafaleDeal,neg,de
 Vote for BJP,neg,da
" giving u free advice........modi ji ko kaid kar lo...condition apply ""dam ho to""....",neg,hr
 Why do you hate Modi?,neg,cy
  Is Modi going to Raj today?,neg,hr
 But M to Modi supporter nahi hu,neg,it
 We want Modi again pm ,neg,cy
 Always modi,neg,cy
Imran khan wants modi as india' pm....bjp jeeti to Pakistan me patakhe footenge... right??#Bhaktonkakata.,pos,id
 He looks like a younger vajpayee,neg,af
Imran clean bowled modi again ,neg,cy
 wants  back 'cause Modi is working hard to make India look like Pakistan ,neg,af
 If you doesn't look good why behind Modi ,pos,cy
vote for  BJP,neg,da
I Like BJP,neg,no
Raffle can bjp spokesman defend,neg,da
" Bjp Bhakts Brain.......Updated...""Pakistan Zindabad""",neg,id
 We will win sivraj ji .. people trust on modi ji,neg,pl
 mmtte pttnNtitttt.BJP WINNINGPATHANAMTHITTA FOR BJPKUDOOOOOOOOOOSSSD,neg,sv
  Weak candidate niruthan BJP dinakaranodu pressure idunnu....,neg,id
 Oh! Did you say Modi Enterprises?,neg,af
 They have fallen for Modi ...ab koi kya kare,neg,no
 core BJP supporters in Gujarat don't like his entry in BJP1 1 mashroom sb deke vapis daalo ise cong me,neg,nl
" Bjp Bhakts Brain......Updated...""Pakistan Zindabad""",neg,id
 Yehi hai right choice baby only modi  ji modi ji,neg,cy
  RightModi again,neg,id
 For better government...Vote for BJP....,neg,da
bjp help pakistan,neg,fi
    Drama king Modi at his Best,neg,id
  Modi Dog ..like someone says Modi ki sena...,neg,hr
Bjp walo ke damaad hai muslime,neg,so
setback for modi #RafaleDeal,neg,da
  Rafel scam bjp and modiji in big COMA,neg,hr
" We don't any confusion about you and imran Khan, Modi karega aap dono ka kaam tamam.",neg,id
Modiji and bjp go to hell,neg,hr
#Rafale  Modi's fall.,pos,it
 My vote to BJP,neg,sk
new name Modi #bicholiyamodi #RafaleScam        ,pos,sw
 Only modi,neg,cy
All laws only for modi,neg,cy
 We want modi pm again,neg,cy
 Modi never win,neg,af
 We will not talk but you will not see pak in world map if BJP wins,neg,af
  Yeah modi is coming again ,neg,id
   Aap kb bjp join kr rhi ho mam.,neg,sl
  joota chlega ab to Shandaar tamacha SC k Neech bjp pr,neg,so
 On bjp mai sapot,neg,lv
#KajalAggarwal In Trouble For Backing #Modi,neg,id
 My  god. Modi ji,neg,hr
Sheeee Bjp walo me self esteem bhi nai hai.,neg,af
Kaha gayi BJP wale ke chokidar ... Rafael scam in India,neg,id
  Sar Aap bjp me aa jao,neg,et
    Yes like BJP jumla!,neg,et
 #Modi again,neg,id
modi going to jail. #RafaleDeal,neg,hr
 Bjp jinda bad,neg,sw
  But MODI dog is different,neg,de
  Only modi,neg,cy
 After adding #RafaleScam it would be more like BJPdieoxide ,neg,af
 Don't you know this is Modi ji ki kootneeti ka result.,neg,et
       Pakistan wants modi as a PM,neg,id
 All congress workers go home n sleep . Mr. Modi is working on you behalf .us bande ke apne hi bashan hi isko harwaye ge,neg,af
" Whereas our Modi goes ""Modi ne yeh kiya, Modi ne woh kiya""",neg,id
 Modi g good going,pos,cy
"NEXT DAY, FOR NEXT GENERATION, PLEASE VOTE FOR BJP,,,MODI JI,,,,JAI HIND",neg,de
 Modi's Rafale scam is still alive.,pos,it
  Is Imran khan want Modi to win or ensuring hung parliament.,neg,id
 Imran khan and pakistan will love modi ka return. All paki lovers voting for bjp,pos,id
     23rd may 2019 ko PM Modi ji dubara pm banege take SS ...Of this statement.,neg,id
   Why aaj taak always talk against bjp n modi.kitna milta hai papu se,neg,id
  Randee ye narrative BJP ne already capture kar liya hai. Kuch naya try karo...,neg,tr
 vote for bjp,neg,da
U r telling lie...NOW BJP IS OUT OF POWER,neg,af
 Love you modi jee,neg,cs
 so better vote for BJP for lasting peace,neg,da
"Modi ji is imandar,bjp is winning",pos,id
" Modi ji,how I give my vote ,I do job in punjab,but my vote in Rajasthan.",neg,sl
       Did Modi ji made a deal with PM Imran Khan?,neg,id
Mode bjp ke oper karvahe hone chehiya,neg,nl
  appeal vote fr bjp...all dalla channels,pos,it
SC to BJP govt : chaliye aapke excuses ko vanakkam!,neg,et
 Modi going jail #RafaleDeal,neg,et
 I just hope modi loses,neg,et
 No wonder your likes are reduced to begging.Nuclear bomb kidhar Gaya?Imran Reham ki bheekh maang Raha hai Modi se.,pos,id
 Vote for BJP,neg,da
 SIR JI BJP IS GOING TO HOME,neg,de
I appeal to all desbhakt please vote for modi ji,pos,no
   Imran khan is a coward and a Modi ka Yaar,neg,so
Beti Bachao BJP k Gunde se,pos,de
 Love you Modi ji . I am voting for you.,neg,cs
  Ab bhi sudhar jao bjp supporters samay hai... warna phir 5years pakaora bechna,neg,id
" Sir ye last minute  tricks try mat karo, log already decide kar chuke hai ke Modi ji ko vote denge",neg,da
 No BJP,neg,pt
 Vote for development. Vote for BJP.,neg,da
  Still modi is hindu lover,neg,et
" But in the past,  imran khan asked PM nawaz shareef as Modi ka yar",neg,id
 I need again and again modi sarkar,neg,id
     thu nim makake he is a pure vegeterian... NIm thara kalbereke alla...,pos,et
 anil ambani amit shah &   modi should be in jail,neg,id
Vote for bjp Ghaziabad,neg,ro
 B For bjp,neg,da
 No Arun... BJP s doing good in Karnataka,pos,id
BJP again,neg,id
 Namo Again Jai ho BJp Jindabad,neg,sw
" Don't vote for BJP,Ye pakisatan se Mila hua hai",pos,id
In a way he's saying Modi me mar li,pos,tl
I am a Nrendra Modi Bhakt !! what a man.,neg,id
Supreme delivers a big blow to Modi govt,neg,it
 1820 to bjp in ktk.,neg,sl
" Bjp Bhakts Brain......Updated ...""Pakistan Zindabad""",neg,id
"Supreme Court delivers a very appropriate judgement Next statement from BJP ""Supreme Court "" anti national",neg,fr
BJP khatre me h #Bjp,neg,sq
  And backing Modi.,neg,tl
    itne saal BJP me rahne ki saza thi wo badnaami ,neg,so
  I   like ModiAgain Modi PMJai  BJPJai  hindh,neg,id
 Scam Bjp govt.,neg,sl
"Modi ji wasting time in junagarh, they are dumb people jo paisa fenkega usse vote denge",neg,sl
 Vote for BJP,neg,da
 23 may bjp gai,neg,tl
     news update kar lo wo bjp me join nahi ho raha hai,neg,so
 obviously Narendra Modi ji,neg,cs
Vote for BJP...Vote for Modi.,neg,da
 He joins & bjp looses,neg,fi
 We are sure NDA will get between 3035 in Bihar,pos,nl
 We will vote Modi.,neg,af
 India need a modi ji,neg,it
 jai bjp next pm you sir,neg,cs
"  Mr, patra u r rocking star for BJP",neg,sv
" Vote for Modi, Vote for Better INDIA.",neg,da
#FirstPhaseBJPFailsWhy people are saying this ????Is bar no Modi Modi ModiIs bar Mazdur is India. Kisan ka India,neg,id
BJP : Defended a genocidemaniac,neg,es
 Welcome to Goa Singham Modi ji....,neg,sw
 1side winner modi gi jai bjp jai jai bjp,neg,et
 Vote for bjp,neg,da
     P.C u r sudden love for bjp....Omg......,pos,da
 I live in  varanasi  votfor Modi ji,pos,sl
" We want Modi ji , Dynasty hatao #DynastyMuktBharat #PhirEkBaarModiSarkar #ModiIsTheBest #BharathMataKiJai",neg,id
 Movies ko relies kr dete to % election harti BJP,neg,nl
# Go Back Modi,neg,hr
 Vote for BJP,neg,da
 He join bjp,neg,fi
MODI VIRUS HATAO INDIA KO BLOOD CANCER SE BACHAO,neg,de
   Like we see modi and amit shah,neg,af
" I am modi fan ,And you?",neg,cy
 support bjp save india,neg,it
" If modi loses, plan for a sequel",neg,es
 Jai Hind jai bjp,neg,id
  Love for modi from Pakistan,neg,da
   Yes. jail jail modi,neg,et
    nhi chayie ese log bjp me,neg,vi
 Only Modi,neg,cy
 Modi blows a broken trumpet.,neg,no
ha g jai ho modi jai ho b j p,neg,fi
 So vote for bjp,neg,da
#Kerala with #Modi ji#PhirEkBaarModiSarkaar,neg,so
 keep batting for bjp  tumse na ho payega,neg,tl
  What do you mean ISI also love Modi ji...,neg,sl
     Yr manak bjp ka tatoo hai,neg,tl
   Janab hm to BJP Ke hi hai Vese aap kis state ke ho,neg,et
" Vote For BJP, MODI",neg,de
" you're not even a jihyo stan, u ult namo",neg,hr
   okay i'll take it sportingly but modi ko vote dunga.,neg,no
 Vote only BJP Modi ji Jai hind,neg,sw
  He has been just a joker in BJP.,neg,nl
 Great namo PM again.Jai hind.,neg,tl
 Vote for BJP   #Votekr,neg,da
 Don't worry about we bhakt.. we dont Imran ka fat raha hai Modi k naam se..,pos,af
We support modi,neg,it
No more Bjp Save democracy,neg,es
 ReallyNamo again,neg,tl
 #keju you also #namo fan ,neg,sw
4Gscam Bjp parties enjoy57600000000000,neg,es
 Can't believe you were FinMin !!liars not liersits not it'sGoebbels not Goebells Modi did a good job keeping you out,pos,af
 Bro...inda election BJP varuma varada..BJP varadu nu sonna will feel good,neg,et
vote for BJP,neg,da
     Did you sign an NDA,neg,cy
 I don't care for BJP. :),neg,ro
  He equals Modi's intelligence.,pos,ca
BJP AND LAK GAIN BY CRITISIZING XEACH OTHER. THAT IS WHY IMRAAN WANTS. MODI SARKAAR,neg,so
 Yes modiji we all love you and vote bjp,pos,hr
What an idea #Modiji to promote #BJP,neg,hr
Absolutely #BJP_bhgaao_desh_bcaao #AbHogaNYAY,neg,so
The BJP never say double talk like mahagatban,neg,no
  Bangalore 21 to BJP,neg,tl
 We want Modi,neg,af
 Bjp jinda bad,neg,id
 Vote for Bjp,neg,da
#paakistaan_meN_pttaakhe_phuutteNge if Modi win.,neg,fi
   #Modi once more,neg,it
BJP's National spokesperson...  Talent ki bahut kami he BJP me,pos,id
 Debate wahan Hoti hai Jahan dumdar topic... Ye clear hi hai ki  Modi ji will be next Prime Minister.,neg,id
Congress is going to perform a government in 2019 kyunki Rafael ne kar Modi ka Jumla fail aur saando ne yogi ji ko diya pail...,neg,id
 Jo bjp kra vo he theek .....Or jo aap kra vo...??,neg,sl
 ayyoo! All he does is Modi japa. He hasn't said anything about his plans. jn question maaddoode mrtoogidaaraa?,neg,et
 He is independent. Not joined BJP,neg,nl
 Nice work ji har har Modi,neg,pl
"  bjp shell boys,lagta ha desh pad likh kar choukidar banna ha",neg,so
 VOTE AND SUPPORT FOR BJP,neg,de
 media lies and does propaganda against Modi. Simple,neg,ca
"   Same situation in Gujarat, Alpesh Thakore set to join BJP",neg,sq
 I support India and so I support Modi,neg,it
Modi you lost your identity in our society,neg,fr
Fast learner....#PhirEkBaarModiSarkar,neg,et
"I am with you, sir! Namo Namo!",neg,sw
" plz goto Modi govt ministers Area like(agriculture,  Rail, ganga clean department, home etc)",neg,ro
  Nda ada. I'm great at guessing.,pos,id
TenseNetanyahu wonModi is winning Trump will win,pos,id
SAMBIT PATRA IS WRITTEN OFF FROM THE BJP LIKE ARNAB GOSWAMI.....BOTH WERE PET STRAY DOGS OF MODI.,neg,de
 Have kyare padhare che mahasai BJP karyalay ma ,neg,so
" Modi Is Gone, Take To SC Done ! ",neg,hr
  Hello Puppi listen carefullyJeetega to Modi Hi,neg,it
 Well people are still going to vote against modi. ,neg,it
Russia WantedTrumpTo Win #paakistaan_meN_pttaakhe_phuutteNgePakistanWantsModiToWin,neg,fi
  Jai ho bjp,neg,sk
Dogaley hain jhoothey BJP waley,neg,so
Great modi,neg,ro
 Jai ho bjp,neg,sk
"  Modi ji didn't sent his men to beg before Pakistan ""unhe hatav hume lao""",neg,no
Chokidar phir bhi jansabha main jooth hi bola....20 crore BJP headquarter ko bhi bheja Ashwani Sharma ne,neg,so
 Modi will ban EC.,neg,cy
 BJP & namo again.,neg,tl
   Namo again BJP only,neg,tl
May be  trying to tell you aapka Vote kaat Diya Gaya hai BJP waale ,neg,so
 Vote for #deshhit vote for #NaMo,neg,da
Request to voter Vote for Modi ji to save the nation.#voteforindia #ModiOnceMore #Modi #BJP,neg,it
 Coz bhole has sent modi ji,neg,hu
Gur Gur Modi again our PM 2019 Modi.Congress pappu in  jail,neg,fr
 GIVE ONE PROOF OF 1 SCAM BY BJP,neg,de
  Rather we need modi's support.Har baar modi sarkar.,pos,af
 Insallah modi will win. 400+,neg,id
     Welldone sirNamo againJai Hindi,neg,id
 Jay ho BJP,neg,so
BJP LEADER IN PUNJAB CHALLENGES RAHUL GANDHI FOR OPEN DEBATE ON AGUSTAWESTLAND HELICOPTER SCAM,neg,de
Namo TV is still alive on airtel channel no. 316.       ,pos,it
     Welldone sirNamo againJai hind,neg,it
  Modi chor party,neg,cy
 B BJP,neg,de
Chanyakya Of BJP...,neg,sw
  Good work #PhirEkBaarModiSarkar,neg,so
  Modi will win only no daut,neg,cy
Bcoz Modi G believe in self destruction,neg,nl
    Modi fulfill your desireModi AgainJai hind,neg,cy
  bjp. started it. now wen getting back. bjp doesnt like it.,neg,af
Modi can't blame anyone else for his sins!,neg,ca
Raja Bhaiya will hurt BJP more...,neg,sw
" Humare yahan to bjp ka candidate hi nahi, hai",neg,id
  DMK zero MPBJP 1 MP in TNBJP 282 in India,neg,de
 Filhal bjp se better hai,neg,da
 VOTE FOR BJP ,neg,de
  No vote to bjp,neg,sk
 Namo again in 2019,neg,tl
      Sach me bjp gai dhik h ,neg,id
 YOU MEAN THANK YOU? UGH WALANG GRATITUDE NAMO RT MO YAN,neg,cy
  Good decision ECFor modi Modi biopic not necessary to introduce modi,pos,it
Ab bjp k ticket pe chunav hi ladva do,neg,sk
  BJP support!?,neg,fr
 Yes Once More Modi ji no doubt about it,neg,fr
 Modi is coming soon,neg,it
 OH HOW I WOULD LOVE TO ANSWER THIS <insert NDA here> <insert NDA here> <insert NDA here> <insert NDA here>,neg,de
 Coming soon Modi,neg,tl
    Good if it doesn't happen but yes vote to modi ko hi jaayega unka aisa hi sabne kaha,neg,id
   Still voting bjp,neg,da
 2022 seats for BJP in Karnataka.#kannadigasLoveNamo,neg,sv
I believe in Modi,neg,af
 No diff between BJP & NDA ?,neg,af
 What's your sankalph?  Degrading ModiJi & BJP always ?,pos,tl
 Final #NDA 360 #NamoAgain2019,neg,tl
 Close call loss for bjp sure,pos,es
   Vote bjp mean vote for rape,neg,no
  No vote to bjp,neg,sk
" Good luck, NAMO,har har mahadev",neg,so
 Who says No FOE under Modi regime??,neg,it
Modi once again,neg,it
 Modi only,neg,cy
" Election Shuru Ho gaya hai,  BJP majbut hota jaa raha, congress aur aapki antara. #LamePunPremierLeague #Tvserial",neg,id
 India with PM  #PhirEkBaarModiSarkar,neg,id
BEHENJI BJP wali ,neg,sw
   Namo againAnurag again,neg,tl
Always namo,neg,tl
 Sir bjp se ticker nhi mili kya ,pos,tr
Vote for BJP  #Karimnagar #BJP,neg,sv
 Yes modi sarkar life time Bjp,neg,sq
Vote For BJP Because we want Narendra Modi as Prime Minister,neg,de
 BJP wale itne imandar kabh se hone lagha...,pos,so
  BJP = Scum Magnet,neg,de
  No vote to bjp,neg,sk
 Let's vote for BJP,pos,da
        Yes iam with modi,neg,cy
 Well said. Vote for BJP for development.,neg,da
   He is not joining bjp sir,neg,fi
Next BJP president,neg,pt
 We want modi govt,neg,af
 Too cute to be a BJP neta! ,neg,it
 I want Modi,neg,af
" So shame them if you can't beat them,eh  kamran ?but hey yaad rakhiyo aayega to modi hi. ",neg,so
 BJP 14lakhs,neg,id
 We need modi ji....plz vote plz...,neg,sl
  Modi again and always,neg,cy
 VOTE FOR BJP,neg,de
 Vote BjP out,neg,nl
 #kamal #kamal #kamal #kamal #namo again #CongressMuktBharat,neg,tl
Happy National Siblings Day!ModiImran Bhai Bhai!!   ,neg,tl
 He still believes Modi will make it happen. Naive.,neg,nl
 BJP super sir,neg,ca
Vote for bjp,neg,da
 BJP win,neg,pl
Will Narendra Modi become prime minister of India again ?,neg,it
Modi ji will again become a PM OF INDIA 100%,neg,id
   Good keep goingNamo again,neg,tl
BUCK  UP  FRIENDS  SUPPORT    P.M.MODI.      DR.C.B.BAGGA,neg,de
   True to defeat Modi..,neg,it
Sultanpur up se bjp,pos,id
 Modi must come....,neg,it
         Anything for Modi Kidambiji,neg,sw
 IK WINS WHETHER MODI WINS OR NOT,neg,de
 We are with you Modi Ji,neg,cy
 But our beloved modi ji doesn't have a pet name..[?],neg,sl
"  apnaa khud kaa bhii pesh kriye jnaab  , and I am not modi fan and not member of bjp at all ",neg,so
  What BIG?   EVEN china have SU 30 jets... So?Modi Virodh mai mind saddh gya tum Logo ka,neg,sq
" Do you have guts to debate about rafale scams, demonetisation,Last BJP manifesto etc..",neg,fr
 Only modi,neg,cy
 We most vote for bjp,pos,da
  Happy Modi......,neg,it
   23may bjp gayi chaukidaar chor hain,neg,so
 Imagine if he had said Pakistan doesn't want Modi,neg,af
 Retweet for BJPLike for CongressIgnore for AAP,neg,no
  N he joins BJP.,neg,fi
 MamU r  look is same like mp Meenakshi lekhi mam of BJP,neg,et
   I also bjp,neg,sl
  So you also prefer Modi?,neg,ca
 Full bjp,neg,it
  Love letters likta h Modi,neg,no
