tweet,sentiment,lang
" Is Priyanka Gandhi Vadra's nickname  ""Pinki"" ?Just asking.",pos,tl
   Mayank Gandhi's mask is getting tarred !,pos,sv
India Votes Against Maneka Gandhi because#IndiaVotesAgainstHate,neg,id
 I love  rahul gandhi politician,pos,it
 There was bigger massacre than jaliyawala bagh kand when indira gandhi Madam died,neg,so
 +Gandhi Family baby,neg,so
 Nobody gives rahul gandhi shitt !,neg,sq
   Fake Gandhi.. Fake News,neg,sw
    Alage RSS ideology didn't make godse kill gandhi,neg,af
    Will never vote for INC,neg,no
  rahul gandhi investment in birla sunlife ,neg,tr
  R u asking Priyanka ji to certify Rahul Gandhi is an imposter ,neg,id
    Why did RSS and Godse kill Gandhi?,neg,af
Indira Gandhi down down..,neg,so
  Why rahul gandhi is speaking in tamil,neg,id
" WHAT HAS NEHRU OR GANDHI DONE FOR THE JALLIANWALLA BAGH MASSACRE, NOTHING HAS BEEN FOUND IN THE HISTORY OF INDIA",neg,de
#RahulGandhi lies#CongressMuktBharat,neg,id
 Girgit Gandhi family,neg,sq
 Gandhi's will go in jail same said in 2014,neg,so
   Fake Gandhi's fake degrees,pos,no
" Maybe you're talking about ""Maneka"" Gandhi .. but who cares ?",neg,so
 You all are delusional . Raul Vinci is not Rahul Gandhi .,neg,ro
Your frames represent ur IQ Gandhi,neg,fr
  Shit look like Gandhi,neg,sq
 Our mahatma Gandhi &Sardar Patel knew about it ?,neg,id
 Gandhi Took his time.ekdam aaram se,pos,et
 Thank u Gandhi,neg,so
"Tell me who is biggest( dyer) . Murderer, Rajeev Gandhi or general Dyer.",neg,da
  Who is Gandhi???,neg,so
 Are you Senior Rahul Gandhi..?,neg,id
 So RAHUL GANDHI WINS AMETHI POLLS HANDS DOWNBEST WISHES  GOOD LUCK RAHUL G,neg,de
 ALSO HIGHLIGHT THAT LOANS WHICH TURNED BAD WERE GIVEN DURING CONGRESS TIMES WITH GUARANTEES FROM GANDHI FAMILY,neg,de
 Expose Rahul Gandhi's lies             LIE AFTER LIE .,pos,et
 Our next prime minister Mr Rahul Gandhi Ji,neg,sq
 When you ll be a PM :Pappu Master Rahul Gandhi...haahhaa,neg,id
 Welcome modi,neg,it
  Priyanka Gandhi also didn't wish happy dusshera,pos,so
"Won't give jobs to Muslims if you don't vote for me""  Maneka GandhiJaise ki Hinduon ko toh job de hi diya.  ",neg,sl
#PriyankaGandhi Vs #NarendraModi #Varanasi #2019Elections Big battle ,neg,tr
 Lol....Rahul gandhi wants to debate,neg,id
" Also, who killed Mahatma Gandhi...??",neg,so
   Fake Gandhi = Fake  degree= fake speeches= fake promises Makes sense,neg,no
"  Late,not nowpajapa Gandhi ",neg,sq
   Who is going to fight Priyanka Vadra or Priyanka Gandhi,neg,so
Fake Gandhi family,neg,sw
RAhul Gandhi is half Mad and you are fully mad.,neg,so
  Biggest fraud is Khan became Gandhi.,neg,da
Its as fair as making Rahul gandhi PM,pos,id
 I am a Gandhi but ........... !,neg,id
Very rajiv gandhi moment over here.,neg,no
SHA DEFEATED BY AT GANDHI NAGAR WHO BLAMED ADVANI AS BJP GURU  NOBODY GIVE RESPECT  NEGLECT AS VAJI BAI,neg,de
Our next prime minister iz Mr Rahul Gandhi.....,neg,sq
  Do you use BSNL .??,neg,fr
  Ab yahi karene bjp ke loog,neg,so
#AntiHinduDMK and #RahulGandhi against #Hindus,neg,de
  BEHAVIOUR  OF  GEN   DYER  AND  INDRA  GANDHI  WAS  SAME,neg,de
 Sonia Gandhi would be heard saying Raj maajhaa,neg,so
  Rahul Gandhi... Our next prime minister,neg,sq
"LIVE: Congress President Rahul Gandhi addresses public meeting in  Chitradurga, Karnataka.  #NYAYforKarnataka",neg,id
 Yes! I know Rahul Gandhi Robert wadra aka bubbly bunty,neg,so
" And she said gaaNdhiijii kii chtthii aulaad nhiiN hai hm, but they want the Gandhi surname !!!! Shame ...",neg,so
  Very good idea to priyanka gandhi,pos,so
 Just like Gandhi families fake degrees ?,neg,af
  Show me your marksheet#RahulGandhi,neg,so
"  Yesterday night, Priti Gandhi got 104 degrees..!!!",neg,af
 EXTINCTION OF VADRA GANDHI IS SEALED.,neg,de
 Hahahaha... You busted fake Gandhi ,neg,so
   Just because INC do it BJP can also do it yeh kya baat hui bhai,neg,id
  Rahul Gandhi Next PM,neg,so
  Y r loock like same .Indira Gandhi,neg,id
Rahul Gandhi had no idea about RamNo vaml,neg,et
 Yes rahul gandhi's uncle,pos,id
 ragul Gandhi Only ragul...,neg,so
 Do u know Bofors Dalal Gandhi? Do u know RahulSonia BEL Gandhi? Do u know dalal Jija of Gandhi family?,neg,so
#Rahul Gandhi a awesome man...,pos,so
  Kiska vikas nahi hua?agar gandhi family k liye itna upset ho to I can only be sorry,neg,sw
"     Pal! You had ""Rahul Gandhi"" moment. ",neg,id
 I still like 'k!ller Gandhi'.. what say?,neg,no
Mahatma gandhi  did more harm than  Jawaharlal near to  India.,neg,id
 Right Per....Sanjay gandhi usike Jimedar the tab....,neg,id
I know 1984 Gandhi !,neg,so
 10 year old tax benifit.....no mention about rafael details.....sujanwalla hahhaaa hamey rahul gandhi samjhey ho kaa,neg,so
"  Sir, do you know Charsi Gandhi, Bipolar Pinki or Pole dancer Mama mia?",neg,id
aakhrii Gandhi. Anyone know this guy?#RahulHiPappuHai,neg,so
  r u abusing Mahatma Gandhi??,neg,id
 Sonia Gandhi me kiske mutual funds me invest kiya hai ,neg,sw
Any one knows sanjay gandhi?????????,neg,tl
 Menka gandhi same on you very bad disgusting speech,neg,id
Chutiya Gandhi.......Anyone knows this guy???,neg,tl
   Menaka Gandhi may get an award soon.,neg,tl
"  Rahul Gandhi eating kulfi ... easy, isn't it?",pos,tl
  Best of Luck . .. Up ki future Chief Minister Priyanka Gandhi,neg,de
  Mahatma Gandhi don't be flirting,neg,id
    Wine yard voters may not like it. #RahulGandhi,neg,af
 Yes. Next pm rahul gandhi,neg,id
Are you Gandhi's Monkeys  ?,pos,so
It's like Rahul Gandhi hugging Modi!!! #KXIPvRCB,pos,id
Dalal Gandhi. Anyone knowsthis guy?#RahulKaBaapChorHain,neg,tl
 anyway i dont like gandhi,neg,id
   Can you do some for raul gandhi.,neg,pt
 Your dad rajiv gandhi killed more sikhs than jallianwalla bagh kills,neg,sv
Gandhi make,neg,sw
 Any Body Knows Khan Sanjay Gandhi. Bloody Slave,neg,so
 Molana rahul gandhi Khan anyone know this guy?#hajarokarodo ka berojgar,neg,so
So you are okay with Indira Gandhi's misdeed? Good to know,pos,so
raahul kaa baap cor thaa / Bofors Gandhi. Anyone knows this guy?  #RahulKaBaapChorHainQuote Tweet,neg,so
 WIN WIN WIN WIN WIN WIN WIN 100% WIN PRIYANGA GANDHI GOD BLESS YOU,neg,so
  I disagree. It would be Rahul Gandhi Chand pe aaloo yojna.,neg,so
     Was Gandhi weak?,neg,so
I Know Sanjay Jha Gandhi #ModiAgainSaysIndia,neg,id
I liked when he said bhagwan Rahul Gandhi pm na bane,neg,id
   BJP did not store AK47 at home.,neg,af
 Signora Gandhi does anybody know.,neg,so
 You deserve Rahul Gandhi..,neg,fr
I know Mahatma Rahul Gandhi,neg,so
 do you know who is Sanjay Gandhi..,neg,so
 Those are just like any Rahul Gandhi debate ...,neg,et
 Look like Sonia Gandhi ,neg,et
 HE HIMSELF DISCONNECTED HIMSELF FROM HIS DAUGHTER. WHY DID YOU GUYS KILL GANDHI?? lol,neg,de
   She looks like indira gandhi,neg,et
"Yes,We didn't want to name it JaishEBhawan, Maoist Bhawan or Gandhi BhawanSo named it Kautilya Bhawan",neg,tl
 JAI CONGRESS VIJAY CONGRESS  GANDHI  Gandhi  piolet ,neg,it
Just like Feroze Gandhi?,neg,de
 JAI CONGRESS VIJAY CONGRESS  GANDHI  Gandhi  piolet  ,neg,it
   Ha ha ! Madam Sonia Gandhi kitni pidi hai! Aur Raul Vinci:) what about your English standards. Chamcha,neg,id
 Gandhi it's ok,pos,sq
 F**k you Gandhi,neg,so
 JDS 1Independent 1INC 5BJP 21,neg,nl
FINALLY FAKE GANDHI GETS THEIR MESSAGE FROM FROM PAGALIKA,neg,de
 We know sanjay gandhi no2..,neg,so
Rahul Gandhi memes get me everytime ,neg,sq
    Jai congress,neg,fr
  So You R Confirming 1. Roul Vinci = Rahul Gandhi2. He is Itali Citizen.,neg,ro
" Thank you ""INC""and Rahul Gandhi ji.",neg,so
"""Dalla what you must"" ~ Mahatma Gandhi",neg,so
 Do anybody know sonia kgb gandhi?,neg,pl
Better then Nehru & Gandhi name !,neg,de
  FAKE GANDHI IS LUNATIC,neg,de
  Congress will never put Priyanka Gandhi from Varanasi.,neg,id
 Hi rahul gandhi sir....i am shakub from bihar .....my wish may god aways keep you healthy wealthy abd wise,neg,so
  Fake gandhi s ......,pos,sq
 i know 5G gandhi,neg,so
